año,ncodi,totalcompra,producfarma,materialsani,implantes,restomateriasani,servcontratado,trabajocontratado,xrestocompras,variaexistencias,servexteriores,sumistro,xrestoserviexter,gastopersonal,sueldos,indemnizacion,segsocempresa,otrgassocial,dotaamortizacion,perdidadeterioro,xrestogasto,totcompragasto
2020,183.0,1610207,233012.0,327003,0.0,327003.0,0.0,933395.0,116797.0,2222.0,726613,60056.0,666557.0,1190986,936862,0.0,254124,0.0,50827.0,0.0,139336.0,3720191
2020,610.0,4754626,236747.0,3053586,358745.0,2694841.0,0.0,956059.0,508234.0,21910.0,4389654,386066.0,4003588.0,18306172,15042324,60258.0,3111449,92141.0,832246.0,575787.0,0.0,28880395
2020,116.0,3886175,492961.0,736404,0.0,736404.0,86515.0,2439597.0,130698.0,-111039.0,2524652,358931.0,2165721.0,10720235,8683841,0.0,1983072,53322.0,621008.0,571715.0,0.0,18212746
2020,115.0,486650,149278.0,26521,0.0,26521.0,70382.0,79831.0,160638.0,0.0,474172,35969.0,438203.0,2304709,1867522,0.0,425864,11323.0,33439.0,0.0,1353.0,3300323
2020,114.0,465810,51948.0,26322,0.0,26322.0,31265.0,339863.0,16412.0,0.0,693161,52570.0,640591.0,910406,721140,7044.0,177010,5212.0,48137.0,32090.0,0.0,2149604
2020,119.0,1638788,207373.0,721219,257343.0,463876.0,0.0,0.0,710196.0,15008.0,4918591,249763.0,4668828.0,3436816,2795915,14000.0,602178,24723.0,235859.0,0.0,79344.0,10324406
2020,770.0,152287961,52099076.0,73277802,15180457.0,58097345.0,4847239.0,19325499.0,2738345.0,-550016.0,20130521,2264075.0,17866446.0,192645092,156709676,0.0,35399402,536014.0,2726636.0,155078.0,0.0,367395272
2020,583.0,9497318,2677487.0,2834086,1248065.0,1586021.0,1467735.0,2140452.0,377558.0,-270994.0,2967247,459698.0,2507549.0,32538283,25047223,63250.0,7301826,125984.0,1002774.0,0.0,0.0,45734628
2020,136.0,2963061,194938.0,485195,0.0,485195.0,225905.0,1907472.0,149551.0,-19271.0,957902,212476.0,745426.0,9942997,7475120,15000.0,2438540,14337.0,327373.0,0.0,0.0,14172062
2020,469.0,8595244,2967083.0,2192203,258029.0,1934174.0,1255682.0,1924675.0,255601.0,-221216.0,841283,378597.0,462686.0,15295433,11607615,423612.0,3264206,0.0,826725.0,0.0,0.0,25337469
2020,642.0,16356819,5587373.0,3011552,71079.0,2940473.0,2980521.0,4373013.0,404360.0,0.0,2172441,461848.0,1710593.0,40416754,32467938,0.0,7905297,43519.0,1435173.0,43913.0,0.0,60425100
2020,674.0,77070483,28075802.0,24569888,6644290.0,17925598.0,9825374.0,13353750.0,1245669.0,-1072231.0,18138854,2003099.0,16135755.0,131544861,104052974,0.0,27437051,54836.0,9066740.0,179269.0,0.0,234927976
2020,193.0,1782893,192537.0,236803,0.0,236803.0,140608.0,1147887.0,65058.0,0.0,953434,93829.0,859605.0,5888148,4852540,34635.0,998234,2739.0,46968.0,65276.0,0.0,8736719
2020,526.0,47594264,23790965.0,12048190,5000000.0,7048190.0,6282360.0,1310120.0,4162629.0,-261595.0,8173588,1373033.0,6800555.0,83113952,60863782,161520.0,18132685,3955965.0,2394358.0,0.0,0.0,141014567
2020,698.0,196436883,68987869.0,89868793,23108561.0,66760232.0,15588059.0,18018541.0,3973621.0,743869.0,14000792,4062646.0,9938146.0,237846807,192975895,0.0,44870912,0.0,10729401.0,392324.0,-31000.0,460119076
2020,630.0,16076046,7619776.0,3041592,497578.0,2544014.0,3007221.0,1127328.0,1280129.0,-588658.0,4608524,714704.0,3893820.0,35891221,28800431,293340.0,6757977,39473.0,1002030.0,0.0,0.0,56989163
2020,124.0,1585972,70001.0,127564,0.0,127564.0,195166.0,0.0,1193241.0,0.0,903302,127953.0,775349.0,5259719,4203049,0.0,1056670,0.0,47850.0,0.0,0.0,7796843
2020,364.0,2063886,131089.0,178874,0.0,178874.0,48586.0,1563737.0,141600.0,0.0,270309,218908.0,51401.0,4244362,3356532,0.0,887830,0.0,414322.0,0.0,0.0,6992879
2020,439.0,6499604,669100.0,1324358,334717.0,989641.0,3438423.0,640044.0,427679.0,-149564.0,1086088,277758.0,808330.0,8699122,7007614,8845.0,1672561,10102.0,856705.0,558897.0,0.0,17550852
