,particulares,aseguradoras,aseguradoras_enfermedad,aseguradoreas_trafico,mutuas,tipo,año,ncodi
3550,224399.0,199763.0,29604.0,170159.0,88407.0,Urgencia,2013,"889,00"
3551,716322.0,1054851.0,593768.0,461083.0,102913.0,Urgencia,2013,"984,00"
3552,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"34,00"
3553,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"791,00"
3554,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"181,00"
3555,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"430,00"
3556,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"495,00"
3557,48132.0,228508.0,15337.0,213171.0,68812.0,Urgencia,2013,"845,00"
3558,4630.0,121164.0,3386.0,117778.0,1586.0,Urgencia,2013,"498,00"
3559,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"314,00"
3560,24308.0,1790827.0,1779441.0,11386.0,10492.0,Urgencia,2013,"720,00"
3561,12078.0,312690.0,17934.0,294756.0,56852.0,Urgencia,2013,"721,00"
3562,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"485,00"
3563,42636.0,5906172.0,5906172.0,0.0,18569.0,Urgencia,2013,"273,00"
3564,15820.0,198855.0,8742.0,190113.0,23380.0,Urgencia,2013,"846,00"
3565,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"847,00"
3566,50211.0,3819550.0,3754584.0,64966.0,20211.0,Urgencia,2013,"848,00"
3567,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"864,00"
3568,8454.0,145327.0,145327.0,0.0,0.0,Urgencia,2013,"916,00"
3569,20674.0,6284122.0,6284122.0,0.0,83890.0,Urgencia,2013,"930,00"
3570,27369.0,395171.0,67299.0,327872.0,66030.0,Urgencia,2013,"954,00"
3571,37992.0,4525720.0,4484393.0,41327.0,17529.0,Urgencia,2013,"943,00"
3572,52546.0,462295.0,8296.0,453999.0,89250.0,Urgencia,2013,"949,00"
3573,64981.0,0.0,0.0,0.0,32655.0,Urgencia,2013,"980,00"
3574,0.0,0.0,0.0,0.0,0.0,Urgencia,2013,"981,00"
